"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Qin, X.; K.; Huang, Y.","Qin, Xuanmei (57197833340); Huang, Yongfeng (14627673100)","57197833340; 60408787600; 14627673100","MDCV: a decentralized and collusion-resistant consistency verification scheme for multi-cloud storage","2026","Cybersecurity","9","1","125","","","0","10.1186/s42400-026-00561-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030705908&doi=10.1186%2Fs42400-026-00561-y&partnerID=40&md5=553c2ea1e16e9b19aa08067b1e81b637","Ensuring data consistency across multiple cloud service providers (CSPs) is essential for maintaining the reliability and security of multi-cloud storage systems. However, most existing related works rely on trusted third parties (TTPs) and are vulnerable to collusion, which undermines trust and efficiency. To overcome these challenges, we propose MDCV, a decentralized and collusion-resistant consistency verification scheme for multi-cloud storage. MDCV leverages smart contracts to autonomously coordinate consistency verification process without relying on any TTP, thereby ensuring transparency, immutability, and trust-free verification. Specifically, MDCV employs a collusion-resistant public verification protocol in which each CSP binds the proof generation process to its private key and generates non-interactive, publicly verifiable consistency proof using pseudo-random challenges derived from blockchain transaction IDs. This design not only prevents colluding CSPs from generating forged proofs but also supports public auditing. Formal security analysis demonstrates the soundness of the proposed scheme, while experimental results show that MDCV achieves efficient proof generation and verification with lower computational and communication overhead, validating its practicality in real-world multi-cloud backup auditing systems. © The Author(s) 2026.","Consistency verification; Decentralized audit; Decentralized verification; Multi-cloud audit","Blockchain; Cloud security; Cloud storage; Formal verification; Theorem proving; Cloud audits; Cloud service providers; Collusion resistant; Consistency verifications; Decentralised; Decentralized audit; Decentralized verification; Multi-cloud audit; Multi-clouds; Computational efficiency","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030705908"
"Khan, A.A.; Baqasah, A.M.; Alsafyani, M.; Alsufyani, H.; Alhazmi, A.; Ullah, S.","Khan, Abdullah Ayub (57223873126); Baqasah, Abdullah M. (57433730800); Alsafyani, Majed (57215333357); Alsufyani, Hamed (57200409129); Alhazmi, Afnan (57948751600); Ullah, Sajid (57224544644)","57223873126; 57433730800; 57215333357; 57200409129; 57948751600; 57224544644","Blockchain for e-healthcare: a review on secure data management frameworks and future challenges","2026","Journal of Big Data","13","1","20","","","0","10.1186/s40537-025-01348-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029912432&doi=10.1186%2Fs40537-025-01348-7&partnerID=40&md5=5dededa4e9d6d39fbc9cc25d1ce53f81","The revolution in Blockchain Distributed Ledger Technology (BDLT) is changing conventional structures and creating previously unattainable opportunities across a variety of industrial fields. This study explores new developments, opportunities, and trends while tackling important issues that highlight the revolutionary potential of BDLT. For secure, automated, and dependable ecosystem management, it focuses on innovations like Denaturalized Finance (Defi), chaincode, and BDLT interface with the Internet of Things (IoT). The investigation of hybrid blockchain models, which combine the benefits of private and public blockchains, is a novel component of this research. It provides a customized strategy to guarantee improved scalability, privacy, and performance. Conversely, this study highlighted the critical function of Hyperledger, a modular framework that makes enterprise-level blockchain solutions possible. Thus, Ethereum is a flexible platform with strong chaincode capabilities that facilitate the creation of Distributed Applications (DApps). Such opportunities for advancements are evaluated closely in order to demonstrate how they contribute to practical uses and innovations unique to a given sector. To improve worldwide acceptance, the paper also presents Systematic Literature Review (SLR) in order to demonstrate the existing innovative frameworks, especially Hyperledger Technology (HT) for resolving constraints such as consensus protocols for energy efficiency and adaptive regulatory models. For technological experts, industrial developers, and third-party policymakers seeking to harness BDLT's disruptive capabilities while navigating its complexity, this paper offers new viewpoints and practical insights to help close the gap between theoretical innovation and real-world applications. © The Author(s) 2026.","Blockchain; Distributed ledger technology; Ethereum; Hyperledger; Internet of Things; Multimedia systems","Distributed computer systems; Distributed ledger; Energy efficiency; Information management; Multimedia systems; Network security; Block-chain; Chain codes; Conventional structures; Distributed ledger technology; E-healthcare; Future challenges; Hyperledger; Industrial fields; Management frameworks; Secure data managements; Blockchain; Internet of things","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105029912432"
"Kaier, K.; Engel, F.; Benadi, G.; Giuliani, C.; Watter, M.; Kalantari, A.; Schuller, K.; Franzke, C.-W.; Sperandio, M.; Binder, H.","Kaier, Klaus (24776207900); Engel, Felix (59757937500); Benadi, Gita (25225442600); Giuliani, Claudia (59757898100); Watter, Manuel (57189097840); Kalantari, Aref (60341032400); Schuller, Karin (60340771900); Franzke, Claus Werner (7004439651); Sperandio, Markus B. (7003559826); Binder, Harald (7202460535)","24776207900; 59757937500; 25225442600; 59757898100; 57189097840; 60341032400; 60340771900; 7004439651; 7003559826; 7202460535","Identification of biomedical entities from multiple repositories using a specialized metadata schema and search-augmented large language models","2026","BMC Research Notes","19","1","43","","","0","10.1186/s13104-026-07632-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028899031&doi=10.1186%2Fs13104-026-07632-w&partnerID=40&md5=a5ad38bbf3cfc90cb48844c9db1a3950","Objective: Many biomedical articles reference multiple datasets across different public repositories, complicating accurate metadata capture and downstream re-use. Building on our prior grounded large language model (LLM) workflows for biomedical entity annotation, we extend the approach to identify and annotate all datasets referenced by a paper, even when distributed across repositories, by combining a specialized metadata schema with a three-step, search-augmented prompting strategy. Results: In the Transregional Collaborative Research Center PILOT (TRR 359 “Perinatal Development of Immune Cell Topology”), Gene Expression Omnibus (GEO) releases are common alongside additional repository deposits. The applied approach reliably detected datasets referenced in articles and produced schema-compliant annotations using information available on the repository landing pages. After validation through structured face-to-face interviews with the article’s senior author, Gemini 2.5 Pro achieved higher precision (97.1%) than GPT-4.1 (81.9%, p < 0.001) and Claude Sonnet 4 (88.6%, p < 0.001). Limiting the annotation to the information available in the repositories achieved higher precision than adding information from the article (919% vs. 88.3% across all LLMs, p = 0.004). These results indicate that simple repository-grounded extraction enables high quality, multi-dataset metadata annotation which has the potential to minimize the time and effort required for manual metadata annotation. © The Author(s) 2026.","","article; human; large language model; metadata","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028899031"
"Luo, L.; Zhang, Y.; Tang, Q.","Luo, Lixia (58789395600); Zhang, Yusha (55511742800); Tang, Qitao (58089428700)","58789395600; 55511742800; 58089428700","Semantic decentralized authentication for IoT-based e-learning using Hedera Hashgraph and Knowledge Graphs","2026","Scientific Reports","16","1","3225","","","0","10.1038/s41598-025-33206-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028437869&doi=10.1038%2Fs41598-025-33206-0&partnerID=40&md5=c87127123da22f24384125b89de18919","The integration of Internet of Things (IoT) devices in e-learning systems necessitates robust, scalable, and secure authentication procedures to provide dependable sharing of academic records among remote educational institutions. Conventional centralized systems experience scalability limitations, singular points of failure, and heightened susceptibility to hackers, especially in resource-limited IoT settings. This paper presents a decentralized authentication framework based on Hedera Hashgraph and Knowledge Graphs (KGs) to tackle these issues. The architecture incorporates a GAN-based cryptography module for the generation of dynamic symmetric keys, enhancing resistance against predictive and inference-based attacks. Knowledge Graphs facilitate semantic validation of identification features and improve interoperability among institutions via the Hedera Consensus Service (HCS). The quantitative assessment indicates that the Hedera + KG + GAN model attains a 17.1% increase in throughput, an 11–12% reduction in processing time, up to a 20% decrease in execution time for substantial data volumes, a 6–15% decline in energy consumption, and an approximate 23% reduction in authentication delay during periods of high network utilization relative to the leading competing frameworks. The suggested method provides a scalable, safe, and semantically enriched authentication mechanism for IoT-enabled e-learning ecosystems, creating a solid foundation for next-generation decentralized educational platforms. © The Author(s) 2025.","Blockchain; Decentralized authentication; E-learning; Hedera hashgraph; IoT; Knowledge graphs; Semantic analysis","article; blockchain; consensus; cryptography; e-learning; energy consumption; human; information processing; internet of things; ivy; knowledge graph; female; male","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028437869"
"Harby, A.A.; Zulkernine, F.; Abdulsalam, H.M.","Harby, Ahmed A. (57211426261); Zulkernine, Farhana H. (22735783200); Abdulsalam, Hanady M. (24477032800)","57211426261; 22735783200; 24477032800","Ai-guided vectorization for efficient storage and semantic retrieval of visual data","2026","Discover Artificial Intelligence","6","1","16","","","0","10.1007/s44163-025-00713-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027408604&doi=10.1007%2Fs44163-025-00713-y&partnerID=40&md5=29194e8b79ff7cb917d3e0294c7569ba","The rapid growth of multimedia content has increased the demand for effective methods to reduce storage requirements while maintaining quality and enabling fast data transmission. Existing standards and generative model approaches often involve high computational cost, require extensive parameter tuning, and produce inconsistent results, particularly in environments with limited processing resources. This paper presents a convolutional autoencoder framework for reducing the storage footprint of image and video data. The proposed method is designed for efficient integration with existing storage and retrieval systems. Several autoencoder architectures are developed and evaluated on diverse datasets including CelebA, IMDb Faces, Oxford Flowers 102, MNIST, and UCF101. The results show 56.6% to 70.8% for image data volume with minimal degradation in perceptual quality. The system incorporates a latent representation module that supports compact storage, efficient indexing, and accurate reconstruction. These capabilities are essential for practical deployment in multimedia platforms. Experimental evaluation demonstrates that the proposed approach performs competitively with recent techniques while providing greater consistency and reduced computational overhead. In comparison to generative models, the method achieves a higher peak signal to noise ratio and improved structural fidelity. This study offers a practical and reproducible solution for storage reduction, well suited for large scale image and video archiving and retrieval under constrained or high-throughput conditions. © The Author(s) 2025.","Deep learning; Image; Storage reduction; Vectorization; Video","Cost reduction; Data reduction; Digital image storage; Image enhancement; Information retrieval; Learning systems; Multimedia systems; Reduction; Semantics; % reductions; Auto encoders; Deep learning; Generative model; Image; Image data; Storage reduction; Storage/retrieval; Vectorization; Video","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027408604"
"Chefranova, A.V.; Kovach, V.P.; Volkov, A.V.; Lalomov, A.V.; Lavrishchev, V.A.; Chefranov, R.M.; Plotkina, Y.V.; Gorohovskiy, B.M.","Chefranova, A. V. (55612773900); Kovach, V. P. (15054509100); Volkov, Aleksander Vladimirovich (57223117706); Lalomov, A. V. (16313316900); Lavrishchev, Vladimir A. (9246185500); Chefranov, Roman M. (35174200700); Plotkina, Yu V. (6602524214); Gorohovskiy, B. M. (60333865200)","55612773900; 15054509100; 57223117706; 16313316900; 9246185500; 35174200700; 6602524214; 60333865200","Reconstruction of the Age of Provenances for the Rare Metal-Titanium Placers of the Upper Neogene Ergeninskaya Formation (Karpinsky Ridge, Epi-Hercynian Scythian Platform)","2026","Doklady Earth Sciences","526","1","7","","","0","10.1134/S1028334X25608909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027514756&doi=10.1134%2FS1028334X25608909&partnerID=40&md5=1a72112594eed9d425b15d17db62629f","Abstract: Reconstruction of the provenance ages for terrigenous material of the Upper Neogene Ergeninskaya formation, which contains rare metal-titanium placers within the Ergeninskaya Upland, is carried out using a set of lithological and mineralogical methods, including isotopic U–Th–Pb dating of detrital zircon. The obtained data indicate that the source of terrigenous material was the chemical weathering crusts developed along the Neoproterozoic and the Mezoproterozoic (Riphean) volcano-plutonic complexes of the Voronezh anteclise and the Ukrainian Shield, that are almost completely eroded by now, as well as along the Paleoproterozoic and Archean crystalline rocks of the basement of these tectonic structures. Most likely, the products derived from breakdown of the above-mentioned rocks participated in the structure of the main intermediate collector, the role of which should have been played by Carboniferous sedimentary formations with an areal distribution in the south of the East European platform. The southeastern edge of the territory of the Donets folded structure acted as a proximal source of terrigenous material during the accumulation of the Ergeninsky placers, as indirectly evidenced by single crystals of detrital zircon with Triassic and Carboniferous U–Th–Pb age estimates. © Pleiades Publishing, Ltd. 2026.","detrital zircon; epi-Hercynian Scythian platform; Ergeninskaya formation; rare metal-titanium placers; U–Th–Pb geochronological studies","Crystal structure; Exploratory geochemistry; Geochronology; Lithology; Sedimentary rocks; Single crystals; Structural geology; Tectonics; Titanium; Volcanic rocks; Weathering; Zircon; Chemical weathering; Detrital zircon; Epi-hercynian scythian platform; Ergeninskayum formation; Neo genes; Rare metal-titania placer; Rare metals; Titania; U-Th-Pb dating; U–th–pb geochronological study; Placers; detrital deposit; geochronology; Neogene; provenance; rare earth element; titanium","Article","Final","","Scopus","2-s2.0-105027514756"
"T F, M.R.; Uma Mageswari, R.; S, J.N.K.; M M, G.A.","T F, Michael Raj (60380191400); Uma Mageswari, R. (60380655900); S, Jerald Nirmal Kumar (59162844000); M M, Gowthul Alam (59163763700)","60380191400; 60380655900; 59162844000; 59163763700","A blockchain-based healthcare architecture for secure data management and advanced prediction using an improved wild geese optimized natural extreme gradient boosting algorithm","2026","Sustainable Computing: Informatics and Systems","50","","101301","","","0","10.1016/j.suscom.2026.101301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029869394&doi=10.1016%2Fj.suscom.2026.101301&partnerID=40&md5=9f055f8c6063c21b7a5631c2c8edad31","Digitized services are considered as the most valuable services in healthcare that make individuals' lives smarter. However, various issues, such as security, reliability, massive information retrieval, and storage associated with the processing of patients' healthcare records, require improving both traditional information processing and Blockchain-based systems. To address these challenges, a machine learning-based information processing framework and a Blockchain-based secure information transfer protocol are employed. This paper proposes an improved Wild Geese Optimized Natural Extreme Gradient Boosting algorithm for accurate healthcare data classification and prediction. This model enhances decision-making by supporting precise treatment planning and service recommendations. The investigation includes patients' appointment identity, patient details, illness types, and disease durations. The hyperparameters of the Natural Extreme Gradient Boosting algorithm are optimized using the improved wild geese algorithm, thereby preventing the solution from becoming trapped in local optima (i.e., suboptimal points where the search halts prematurely instead of reaching the best global solution). The developed improved wild geese algorithm is formed by integrating the migration and foraging behaviors of the wild geese algorithm and the elimination-dispersal behaviors of the bacterial foraging algorithm. In the Blockchain healthcare framework, users can define access policies and to minimize communication delay and overhead, the user data is stored near their device location instead of in the cloud. Experimental evaluation demonstrates that the proposed model achieves an accuracy of 95 %, a Matthews Correlation Coefficient of 0.598, and a computational time of 0.925 s. © 2026","Access control; Blockchain; Deep learning; Healthcare; Natural extreme gradient boosting; Smart contract","Adaptive boosting; Behavioral research; Classification (of information); Data communication systems; Decision making; Deep learning; Digital storage; Diseases; Health care; Information management; Information retrieval; Learning systems; Medical computing; Network security; Block-chain; Boosting algorithm; Gradient boosting; Healthcare; Healthcare record; Machine-learning; Natural extreme gradient boosting; Secure data managements; Wild goose; Access control; Blockchain","Article","Final","","Scopus","2-s2.0-105029869394"
"Xue, X.; Wang, Z.; Zhao, C.; Qiao, Y.; Wang, P.; Wang, J.; Shi, J.; Liu, B.; Zhang, J.","Xue, Xiangxin (55725917400); Wang, Zhuo (57845991500); Zhao, Cuimei (55476878500); Qiao, Yu (56438651000); Wang, Ping (57226807790); Wang, Jing (58610587400); Shi, Jinghui (36100806400); Liu, Bo (59809291600); Zhang, Jie (58748692600)","55725917400; 57845991500; 55476878500; 56438651000; 57226807790; 58610587400; 36100806400; 59809291600; 58748692600","Ag aerogel/ZIF-8 nanocomposite as a sensitive and reproducible SERS platform for gaseous molecule detection","2026","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","353","","127610","","","0","10.1016/j.saa.2026.127610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030515023&doi=10.1016%2Fj.saa.2026.127610&partnerID=40&md5=e17f78d1070cbe031e3b242e7afc95ef","Noble metals and metal-organic frameworks (MOFs) composite serve as prospective substrate for surface-enhanced Raman scattering (SERS) technology. Herein, an Ag aerogel/ZIF-8 nanocomposite was synthesized and exploited as an ultrasensitive SERS substrate. The as-designed Ag aerogel/ZIF-8 nanocomposite exhibited superior SERS performance, enabling the detection of 4-mercaptobenzoic acid (4-MBA) probe molecules at an ultra-low concentration of 10−10 M. The Ag aerogel/ZIF-8 nanocomposite demonstrated a remarkably high SERS enhancement factor (EF) of 3.73 × 106. The SERS performance resulted from the combined contribution of electromagnetic field enhancement and charge-transfer process. Furthermore, the Ag aerogel/ZIF-8 nanocomposite exhibited good reproducibility, with the SERS signals showing minimal standard deviation in repeated measurements. The Ag aerogel/ZIF-8 nanocomposite further enabled SERS-based detection of gaseous benzaldehyde, demonstrating its potential for monitoring volatile organic compounds (VOCs) in air samples. Compared with conventional MOF- or aerogel-based SERS substrates, the as-prepared Ag aerogel/ZIF-8 nanocomposite combines excellent SERS activity with high porosity, large surface area, and strong adsorption ability. This unique hybrid structure significantly improves sensitivity, selectivity, and stability, showing high novelty and advancement for SERS detection, and can be applied to food safety, disease diagnosis and environmental monitoring. © 2026 Elsevier B.V.","Gaseous molecules; Reproducibility; SERS; Stability; ZIF-8","Aerogels; Charge transfer; Chemical contamination; Diagnosis; Electromagnetic fields; Error detection; Food safety; Molecules; Raman scattering; Raman spectroscopy; Surface scattering; Enhanced Raman scattering; Gaseous molecules; Metalorganic frameworks (MOFs); Molecule detection; Performance; Raman scattering substrate; Reproducibilities; Surface enhanced Raman; Surface-enhanced raman scattering; ZIF-8; Convergence of numerical methods; Nanocomposites; Volatile organic compounds; aerogel; metal organic framework; nanocomposite; silver; silver nanoparticle; unclassified drug; volatile organic compound; zeolitic imidazolate framework 8; adsorption; analysis; Article; boiling point; electromagnetism; energy dispersive X ray spectroscopy; environmental monitoring; gaseous molecule detection; morphology; porosity; reproducibility; scanning electron microscopy; surface area; surface enhanced Raman spectroscopy; surface plasmon resonance; synergistic effect; synthesis; X ray diffraction; X ray photoemission spectroscopy","Article","Final","","Scopus","2-s2.0-105030515023"
"Xu, S.; Ding, Z.; Wei, Z.; Yang, C.P.; Li, Y.; Chen, X.; Wang, H.","Xu, Shuo (59986523400); Ding, Zhanyi (59637906300); Wei, Zijing (57892327200); Yang, Chao Peter (60178556100); Li, Yixiang (60285913800); Chen, Xuanjie (60374573200); Wang, Hailiang (60285423700)","59986523400; 59637906300; 57892327200; 60178556100; 60285913800; 60374573200; 60285423700","Beyond keywords: modeling the semantic complexity of deceptive communication on instant messaging platforms","2026","Journal of Computational Social Science","9","2","29","","","0","10.1007/s42001-026-00461-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029591549&doi=10.1007%2Fs42001-026-00461-8&partnerID=40&md5=9a7e344b2ceda8b9b9d76342a6edb74c","Instant messaging platforms such as Telegram enable rapid information exchange but also facilitate deceptive messaging at scale. In this study, we examine Telegram spam detection through a hierarchy of models that vary in linguistic modeling capacity, from interpretable lexical baselines (Logistic Regression, Random Forest, LightGBM) to sequential (GRU) and context-aware transformer representations (ALBERT). Using a harmonized preprocessing and evaluation pipeline on 20,348 labeled messages, we compare predictive performance across metrics (F1, ROC–AUC, PR–AUC, calibration) and assess pairwise differences via McNemar’s test with multiple-comparison correction. Across all metrics, ALBERT achieves the strongest performance and substantially improves spam-class detection relative to lexical models. This performance gap is consistent with the presence of a subset of deceptive messages whose signals are less concentrated in surface keywords and more distributed across context. However, improved performance may also reflect differences in model capacity and inductive bias, benefits from large-scale pretraining, and stronger handling of sparse patterns via contextual and subword representations. Accordingly, we interpret the proposed “complex tier” as an operational characterization of lexically subtle spam in this corpus, and we suggest that keyword-based moderation may be insufficient on its own to capture the full spectrum of deceptive messaging observed here. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2026.","Computational social science; Deceptive communication; Linguistic complexity; Natural language processing (NLP); Spam detection; Telegram","","Article","Final","","Scopus","2-s2.0-105029591549"
"Wang, G.; Hu, J.; Pei, C.; Li, T.; Lyu, K.; Che, X.","Wang, Guoyu (59302099000); Hu, Juncheng (57216162696); Pei, Chenju (59302288900); Li, Tengfei (57213196428); Lyu, Kedi (57222865808); Che, Xilong (25648807400)","59302099000; 57216162696; 59302288900; 57213196428; 57222865808; 25648807400","Crash consistency in an NVM-enabled hybrid storage system: Problems, solutions, and verification","2026","Journal of Systems Architecture","174","","103705","","","0","10.1016/j.sysarc.2026.103705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029587177&doi=10.1016%2Fj.sysarc.2026.103705&partnerID=40&md5=4757705aff60045ebf6c920b1b07eaf6","Non-volatile memory (NVM), as a byte-addressable persistent device, offers capacity, performance, and cost characteristics that lie between DRAM and disk. Its emergence adds a new tier to the computer memory architecture and introduces new design challenges. Among various hybrid storage designs, we find that the Sync-triggered Selective Absorption (SA) model is both high-performing and broadly applicable when aiming to fully leverage NVM's characteristics in conjunction with DRAM and disk. However, this model introduces three key crash consistency challenges: the Write Ordering, Write Granularity, and Parallel Write problems. In this paper, we define a consistency model based on synchronization semantics and conduct an in-depth analysis of the three consistency challenges faced by SA systems. We then present targeted solutions for each problem and formally verify our design using model checking. We hope our exploration and resolution of these issues will offer guidance for the design of efficient and robust hybrid storage systems. © 2026 Elsevier B.V.","Consistency; Heterogeneous storage; Hybrid storage; Non-volatile memory","Dynamic random access storage; Memory architecture; Nonvolatile storage; Semantics; Capacity costs; Capacity performance; Computer memory; Consistency; Heterogeneous storage; Hybrid storage systems; Hybrid storages; Non-volatile memory; Problem solutions; Selective absorption; Model checking","Article","Final","","Scopus","2-s2.0-105029587177"
"Dönmez, C.; Specka, X.; Hoffmann, C.; Svoboda, N.; Blanchy, G.; Chenu, C.; Helming, K.","Dönmez, Cenk (22978913900); Specka, Xenia (37100432400); Hoffmann, Carsten (37016336700); Svoboda, Nikolai (55625249600); Blanchy, Guillaume (57194281498); Chenu, Claire C. (7005530394); Helming, Katharina (56353681600)","22978913900; 37100432400; 37016336700; 55625249600; 57194281498; 7005530394; 56353681600","Long-Term Field Experiments Overview Map: An interactive open-access metadata platform to enhance networking and data reuse","2026","Computers and Electronics in Agriculture","245","","111534","","","0","10.1016/j.compag.2026.111534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029575108&doi=10.1016%2Fj.compag.2026.111534&partnerID=40&md5=f911f5dae17fdd8cdda7f2ab5895c241","Agricultural long-term experiments (LTEs) are infrastructures for understanding the long-term impacts of agricultural practices on soil health, crop productivity, and environmental sustainability. Some spanning over 150 years, they generate essential data on crops, fertilization, tillage, irrigation, and land management. However, the fragmented landscape of LTEs leading to data accessibility challenges have limited their full research potential. We introduce an overview map for LTEs (LTE-Map) (https://lte.bonares.de), an open-access and interactive platform that centralizes and provide valuable information (metadata) from LTEs. Developed with LTE institutions and data users, its structured model standardizes experimental and organizational data for global interoperability. It enables researchers to efficiently access LTE metadata, aligning with FAIR principles, and serves as a user-friendly gateway to key experimental and environmental information. Currently, the LTE-Map documents 688 trials globally including the earliest experiment established in 1843. While most sites are in Europe (621), more than 60 are located outside, underlining the potential for global expansion. The map shows that LTEs are predominantly focused on arable land and crop rotation studies. The LTE-Map provides a flexible framework for exploring trials, supporting both data providers and researchers based on relevant criteria. It stands as a cornerstone of data management, fosters collaboration and reuse, and has already enabled multiple studies, demonstrating its value as proof of concept for advancing experimental research. © 2026 The Author(s)","Agriculture; FAIR principles; GIS; Long-term field experiments; Metadata; Soil","4G mobile communication systems; Agricultural machinery; Crop rotation; Information management; Interoperability; Agricultural practices; Crop productivity; Data reuse; Environmental sustainability; FAIR principle; Long-term experiments; Long-term field experiments; Long-term impacts; OpenAccess; Soil health; Geographic information systems; Metadata; Soils; agricultural practice; arable land; crop rotation; experimental study; GIS; landscape change; landscape ecology; metadata; networking; sustainability; Europe","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029575108"
"Tan, X.; Xie, Q.; Han, L.; Wang, S.","Tan, Xiao (55331301200); Xie, Qi (35754191500); Han, Lidong (36161824400); Wang, Shengbao (8954179300)","55331301200; 35754191500; 36161824400; 8954179300","Public auditing with semantic secure data privacy for low-entropy files in cloud storage","2026","Computers and Security","163","","104826","","","0","10.1016/j.cose.2026.104826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028738196&doi=10.1016%2Fj.cose.2026.104826&partnerID=40&md5=8d1680a1d657f027491eef3c3bbb2c9b","Public auditing enables a third-party auditor delegated by the data owner to efficiently verify the integrity of data outsourced to a remote server, and thus suits for numerous applications in cloud storage. By a comprehensive survey on the literature, we found that none of existing public auditing schemes provide semantic security of data privacy, namely low-entropy data cannot preserve indistinguishability against the auditor. To capture this security weakness, we define the notion public auditing with semantic secure data privacy (PA-SSDP) by a formal adversarial model to guarantee that it is impossible for the auditor to learn any non-trivial information about the data, even if the audited file has only two possible versions. Then we propose a concrete PA-SSDP scheme with two variants of provable security under the new model, which offer improved data privacy and the same level of efficiency as most of related works. Besides, our schemes support some other useful features, such as server-side deduplication, dynamic data update, and batch auditing. © 2026","Auditing soundness; Batch auditing; Cloud storage; Dynamic data update; Public auditing; Semantic secure data privacy","Cloud storage; Entropy; Privacy-preserving techniques; Semantic Web; Auditing soundness; Batch auditing; Cloud storages; Data update; Dynamic data; Dynamic data update; Low entropy; Public auditing; Secure data; Semantic secure data privacy; Semantics","Article","Final","","Scopus","2-s2.0-105028738196"
"Liu, L.; Wei, P.; Liu, S.; Wang, Z.; Hu, D.; Kou, Z.","Liu, Li (58185345700); Wei, Puwen (24484197800); Liu, Shuchang (60190347000); Wang, Zirui (60121589200); Hu, Da (60190444200); Kou, Zengjie (60190299600)","58185345700; 24484197800; 60190347000; 60121589200; 60190444200; 60190299600","Scalable batch verification of ECDSA for blockchain using IVC","2026","Frontiers of Computer Science","20","4","2004803","","","0","10.1007/s11704-025-41269-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021486652&doi=10.1007%2Fs11704-025-41269-5&partnerID=40&md5=e90ad9912c515537959a881ad8b52328","With the rising volume of transactions on blockchains, signature verification becomes a critical bottleneck of efficiency, hindering scalability and performance. This paper presents a general approach to batch verification of arbitrary signatures on blockchain. By leveraging the memory-friendliness of incremental verifiable computation (IVC) and optimizing for blockchain environments, the proposed scheme can enhance scalability, reduce memory consumption, and ensure compatibility with common devices while supporting an arbitrary number of signature verifications. This approach allows for the concurrent generation of IVC proofs while receiving signatures from other nodes, making it particularly well-suited for low-latency blockchain applications. As a concrete instantiation of our approach, we introduce BEATS (Batch ECDSA Transaction verification Scheme), where the underlying SNARK is instantiated by Spartan with Bulletproof commitment. Our implementation, evaluated on a virtual machine with 8 cores and 16 GB RAM, shows significant performance gains compared to Spartan<inf>BP</inf>, which is the direct construction using Spartan with Bulletproof commitment to verify a batch of ECDSA. The comparison shows that BEATS speeds up the prover by 3–7 times and the verifier by 48–240 times when handling up to 211 ECDSA signatures, the maximum batch size supported by Spartan<inf>BP</inf>. For larger batches exceeding 210, our scheme outperforms the baseline approach, which verifies ECDSA signatures one by one without any proof system. Our verifier achieved a speedup of 21–174 times compared to the baseline as the batch size grows to 220. Furthermore, BEATS exhibits a remarkably low memory footprint, with peak memory usage remaining below 1 GB. © The Author(s) 2025.","batch verification; blockchain; ECDSA; IVC","Authentication; Network security; Random access storage; Scalability; Arbitrary number; Batch sizes; Batch verification; Block-chain; ECDSA; Incremental verifiable computation; Low latency; Memory consumption; Scalability and performance; Signature verification; Blockchain","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021486652"
